season,matches_played
2001/02,1
2002/03,75
2003,34
2003/04,66
2004,42
2004/05,54
2005,33
2005/06,92
2006,41
2006/07,152
2007,43
2007/08,208
2008,65
2008/09,96
2009,148
2009/10,181
2010,96
2010/11,128
2011,141
2011/12,142
2012,146
2012/13,161
2013,176
2013/14,191
2014,131
2014/15,147
2015,162
2015/16,192
2016,133
2016/17,169
2017,177
2017/18,184
2018,219
2018/19,232
2019,318
2019/20,282
2020,32
2020/21,171
2021,334
2021/22,373
2022,564
2022/23,410
2023,543
2023/24,487
2024,663
2024/25,505
2025,596
